Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"6,98705116470084E-09","0,00128521070466461","0,0520295656440773",0,0,0,"0,0883290373372722","0,000141144717037961","1,04477581076777E-10","-4,83096664544846E-10","0,000149270696736634","1,02449244706016E-05","1,58173066485521E-05",0,0,0,0,0,0,package://monkey_complete_visual/meshes/base_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://monkey_complete_visual/meshes/base_link.STL,,Baugruppe Affenarm.STEP-1/Torso oliver.STEP-1,Global_Coordinate_System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Neck_Hor_Rot_Link,"0,000669560657733764","7,22824268208772E-06","0,0123704106831974",0,0,0,"0,00224204689024492","1,20382101087139E-07","9,930824823979E-12","-6,05039637813109E-09","1,91214842358204E-07","1,18376847836872E-10","1,22105776114293E-07",0,0,0,0,0,0,package://monkey_complete_visual/meshes/Neck_Hor_Rot_Link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://monkey_complete_visual/meshes/Neck_Hor_Rot_Link.STL,,Baugruppe Affenarm.STEP-1/Schultergelenk rechts1.STEP-3,Neck_Hor_Rot_Coordinate_System,Neck_Hor_Rot_Joint_Axis,Neck_Hor_Rot_Joint,revolute,0,"-0,01","0,1538",0,0,0,base_link,0,0,-1,1,1,"-1,507","1,507",,,,,,,,
Neck_Fro_Rot_Link,"0,000242400751746983","-0,000380074158750299","0,0063359413173632",0,0,0,"0,00176240827004743","7,60273983420826E-08","-1,62368191193238E-10","3,18161828212279E-09","7,41393158959736E-08","4,96038484363032E-09","6,14795776087856E-08",0,0,0,0,0,0,package://monkey_complete_visual/meshes/Neck_Fro_Rot_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://monkey_complete_visual/meshes/Neck_Fro_Rot_Link.STL,,Baugruppe Affenarm.STEP-1/Ellenbogengelenk rechts oliver.STEP-3/Ellenbogengelenk rechts oliver-1.STEP-1,Neck_Fro_Rot_Coordinate_System,Neck_Fro_Rot_Joint_Axis,Neck_Fro_Rot_Joint,revolute,0,0,"0,0245",0,0,0,Neck_Hor_Rot_Link,1,0,0,1,1,"-1,507","1,507",,,,,,,,
R_Shoulder_Link,"0,0123586237459188","5,88234091172292E-06","0,000668461177534718",0,0,0,"0,00224572738283052","1,22180940017793E-07","9,83615637905778E-11","-6,06810337430569E-09","1,91407988045122E-07","9,78041242293806E-12","1,20646424838584E-07",0,0,0,0,0,0,package://monkey_complete_visual/meshes/R_Shoulder_Link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://monkey_complete_visual/meshes/R_Shoulder_Link.STL,,Baugruppe Affenarm.STEP-1/Schultergelenk links1.STEP-1,R_Shoulder_Coordinate_System,R_Shoulder_Fro_Joint_Axis,R_Shoulder_Fro_Rot_Joint,revolute,"0,0068","-0,01","0,146",0,0,0,base_link,1,0,0,1,1,"-1,507","1,507",,,,,,,,
R_Upper_Biceps_Link,"0,00633593253994473","-0,000380029862493877","0,000240976983574226",0,0,0,"0,00176193451259821","6,1462803572227E-08","4,95966166731548E-09","3,18113676416E-09","7,41244544868285E-08","-1,61160868537096E-10","7,60250325403049E-08",0,0,0,0,0,0,package://monkey_complete_visual/meshes/R_Upper_Biceps_Link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://monkey_complete_visual/meshes/R_Upper_Biceps_Link.STL,,Baugruppe Affenarm.STEP-1/Ellenbogengelenk links oliver.STEP-1/Ellenbogengelenk links oliver-0.STEP-1,R_Upper_Biceps_Coordinate_System,R_Shoulder_Lat_Joint_Axis,R_Shoulder_Lat_Joint,revolute,"0,0245",0,0,0,0,0,R_Shoulder_Link,0,0,1,1,1,"-1,507","1,507",,,,,,,,
R_Lower_Biceps_Link,"0,0123586237459188","5,88234091172118E-06","0,000668461177534718",0,0,0,"0,00224572738283052","1,22180940017793E-07","9,83615637905793E-11","-6,06810337430573E-09","1,91407988045122E-07","9,7804124229444E-12","1,20646424838584E-07",0,0,0,0,0,0,package://monkey_complete_visual/meshes/R_Lower_Biceps_Link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://monkey_complete_visual/meshes/R_Lower_Biceps_Link.STL,,Baugruppe Affenarm.STEP-1/Schultergelenk links1.STEP-2,R_Lower_Biceps_Coordinate_System,R_Shoulder_Hor_Joint_Axis,R_Shoulder_Hor_Joint,revolute,"0,0113",0,0,0,0,0,R_Upper_Biceps_Link,-1,0,0,1,1,"-1,507","1,507",,,,,,,,
R_Upper_Forearm,"0,0308359325399447","-0,00038002986249387","0,000240976983574226",0,0,0,"0,00176193451259821","6,14628035722269E-08","4,95966166731538E-09","3,18113676415999E-09","7,41244544868284E-08","-1,61160868537072E-10","7,60250325403047E-08",0,0,0,0,0,0,package://monkey_complete_visual/meshes/R_Upper_Forearm.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://monkey_complete_visual/meshes/R_Upper_Forearm.STL,,Baugruppe Affenarm.STEP-1/Ellenbogengelenk links oliver.STEP-2/Ellenbogengelenk links oliver-0.STEP-1,R_Lower_Biceps_Coordinate_System,R_Ellbow_Joint_Axis,R_Ellbow_Joint,revolute,0,0,0,0,0,0,R_Lower_Biceps_Link,0,0,1,1,1,"-1,507","1,507",,,,,,,,
R_Lower_Forearm,"0,0181791115365802","3,86331336988538E-06","3,0734476075267E-10",0,0,0,"0,00284451273420116","5,2909125053046E-08","1,44891782874778E-10","1,11130672919831E-14","3,41437201417627E-07","-3,22420388844466E-12","3,5007206594941E-07",0,0,0,0,0,0,package://monkey_complete_visual/meshes/R_Lower_Forearm.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://monkey_complete_visual/meshes/R_Lower_Forearm.STL,,Baugruppe Affenarm.STEP-1/Unterarm rechts oliver.STEP-1,R_Lower_Forearm_Coordinate_System,R_Wrist_Joint_Axis,R_Wrist_Joint,revolute,"0,0358",0,0,0,0,0,R_Upper_Forearm,-1,0,0,1,1,"-1,507","1,507",,,,,,,,
R_Hand_Link,"0,005173799710536","-1,07552855510562E-16","5,16598492175668E-06",0,0,0,"0,000391365166607116","8,7659672148119E-09","-2,9387956368265E-23","-5,78530674198904E-14","1,02180301675885E-08","1,14296396104443E-22","7,65735342992188E-09",0,0,0,0,0,0,package://monkey_complete_visual/meshes/R_Hand_Link.STL,"0,964705882352941","0,964705882352941","0,952941176470588",1,0,0,0,0,0,0,package://monkey_complete_visual/meshes/R_Hand_Link.STL,,Baugruppe Affenarm.STEP-1/Hand.step.STEP-2,R_Hand_Coordinate_System,R_Wrist_Joint_Axis,R_Hand_Joint,revolute,"0,041",0,0,0,0,0,R_Lower_Forearm,-1,0,0,0,0,0,0,,,,,,,,
L_Shoulder_Link,"-0,0123704106831975","7,22824268199231E-06","0,000669560657733603",0,0,0,"0,00224204689024492","1,22105776114293E-07","-1,18376847837409E-10","6,05039637813104E-09","1,91214842358204E-07","9,93082482451766E-12","1,20382101087139E-07",0,0,0,0,0,0,package://monkey_complete_visual/meshes/L_Shoulder_Link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://monkey_complete_visual/meshes/L_Shoulder_Link.STL,,Baugruppe Affenarm.STEP-1/Schultergelenk rechts1.STEP-1,L_Shoulder_Coordinate_System,L_Shoulder_Fro_Joint_Axis,L_Shoulder_Fro_Joint,revolute,"-0,0068","-0,01","0,146",0,0,0,base_link,-1,0,0,1,1,"-1,507","1,507",,,,,,,,
